station_id,temperature_c,humidity_percent,pressure_hpa,wind_speed_kmh,wind_direction,precipitation_mm,timestamp
STN002,22.8,61,1014.5,10.2,E,0.1,2025-08-14 06:00:00
STN002,23.9,59,1014.1,11.8,SE,0.2,2025-08-14 07:00:00
STN002,24.1,58,1012.8,12.7,N,0.2,2025-08-14 08:00:00
STN002,25.3,55,1012.5,14.2,NNE,0.0,2025-08-14 09:00:00
STN002,26.8,52,1012.2,15.8,NE,0.0,2025-08-14 10:00:00
STN002,28.1,49,1011.9,17.3,E,0.0,2025-08-14 11:00:00
STN002,29.4,47,1011.6,18.9,SE,0.0,2025-08-14 12:00:00
STN002,30.7,45,1011.3,20.4,S,0.0,2025-08-14 13:00:00
STN002,31.2,43,1011.1,21.8,SW,0.0,2025-08-14 14:00:00
STN002,30.8,44,1011.2,20.6,W,0.3,2025-08-14 15:00:00
