station_id,temperature_c,humidity_percent,pressure_hpa,wind_speed_kmh,wind_direction,precipitation_mm,timestamp
STN004,18.2,82,1017.3,8.4,NE,0.2,2025-08-14 06:00:00
STN004,19.1,80,1017.0,9.7,E,0.1,2025-08-14 07:00:00
STN004,20.3,78,1016.6,11.2,SE,0.0,2025-08-14 08:00:00
STN004,21.5,76,1016.2,12.8,S,0.0,2025-08-14 09:00:00
STN004,22.8,74,1015.8,14.5,SW,0.0,2025-08-14 10:00:00
STN004,24.1,72,1015.4,16.1,W,0.0,2025-08-14 11:00:00
STN004,25.4,70,1015.0,17.8,NW,0.0,2025-08-14 12:00:00
STN004,26.7,68,1014.6,19.4,N,0.0,2025-08-14 13:00:00
STN004,27.3,66,1014.3,20.7,NE,0.0,2025-08-14 14:00:00
STN004,26.9,67,1014.4,19.9,E,0.1,2025-08-14 15:00:00
