station_id,temperature_c,humidity_percent,pressure_hpa,wind_speed_kmh,wind_direction,precipitation_mm,timestamp
STN005,16.8,88,1018.7,5.2,SE,0.8,2025-08-14 06:00:00
STN005,17.6,86,1018.4,6.1,S,0.6,2025-08-14 07:00:00
STN005,18.9,84,1018.0,7.8,SW,0.4,2025-08-14 08:00:00
STN005,20.2,82,1017.6,9.4,W,0.2,2025-08-14 09:00:00
STN005,21.7,80,1017.2,11.1,NW,0.0,2025-08-14 10:00:00
STN005,23.1,78,1016.8,12.7,N,0.0,2025-08-14 11:00:00
STN005,24.6,76,1016.4,14.3,NE,0.0,2025-08-14 12:00:00
STN005,25.8,74,1016.0,15.9,E,0.0,2025-08-14 13:00:00
STN005,26.4,72,1015.7,17.2,SE,0.0,2025-08-14 14:00:00
STN005,25.9,73,1015.9,16.5,S,0.1,2025-08-14 15:00:00
